Token(main_word, 'main', L1:C1)
Token(llaveIzq, '{', L1:C6)
Token(int_word, 'int', L2:C5)
Token(identificador, 'x', L2:C9)
Token(coma, ',', L2:C10)
Token(identificador, 'y', L2:C12)
Token(coma, ',', L2:C13)
Token(identificador, 'z', L2:C15)
Token(puntoComa, ';', L2:C16)
Token(float_word, 'float', L3:C5)
Token(identificador, 'promedio', L3:C11)
Token(puntoComa, ';', L3:C19)
Token(bool_word, 'bool', L4:C5)
Token(identificador, 'activo', L4:C10)
Token(puntoComa, ';', L4:C16)
Token(identificador, 'x', L6:C5)
Token(asignacion, '=', L6:C7)
Token(numero_entero, '10', L6:C9)
Token(puntoComa, ';', L6:C11)
Token(identificador, 'y', L7:C5)
Token(asignacion, '=', L7:C7)
Token(numero_entero, '3', L7:C9)
Token(suma, '+', L7:C11)
Token(numero_entero, '4', L7:C13)
Token(multiplicacion, '*', L7:C15)
Token(numero_entero, '2', L7:C17)
Token(puntoComa, ';', L7:C18)
Token(identificador, 'z', L8:C5)
Token(asignacion, '=', L8:C7)
Token(identificador, 'x', L8:C9)
Token(modulo, '%', L8:C11)
Token(identificador, 'y', L8:C13)
Token(puntoComa, ';', L8:C14)
Token(identificador, 'promedio', L9:C5)
Token(asignacion, '=', L9:C14)
Token(parentesisIzq, '(', L9:C16)
Token(identificador, 'x', L9:C17)
Token(suma, '+', L9:C19)
Token(identificador, 'y', L9:C21)
Token(parentesisDer, ')', L9:C22)
Token(division, '/', L9:C24)
Token(numero_entero, '2', L9:C26)
Token(puntoComa, ';', L9:C27)
Token(identificador, 'activo', L10:C5)
Token(asignacion, '=', L10:C12)
Token(bool_value, 'true', L10:C14)
Token(puntoComa, ';', L10:C18)
Token(if_word, 'if', L12:C5)
Token(identificador, 'x', L12:C8)
Token(mayorQue, '>', L12:C10)
Token(numero_entero, '0', L12:C12)
Token(then_word, 'then', L12:C14)
Token(cout_word, 'cout', L13:C9)
Token(opOut, '<<', L13:C14)
Token(cadena, 'positivo', L13:C17)
Token(puntoComa, ';', L13:C27)
Token(end_word, 'end', L14:C5)
Token(puntoComa, ';', L14:C8)
Token(if_word, 'if', L16:C5)
Token(identificador, 'x', L16:C8)
Token(mayorIgual, '>=', L16:C10)
Token(identificador, 'y', L16:C13)
Token(then_word, 'then', L16:C15)
Token(identificador, 'z', L17:C9)
Token(asignacion, '=', L17:C11)
Token(identificador, 'x', L17:C13)
Token(resta, '-', L17:C15)
Token(identificador, 'y', L17:C17)
